equals,code2vec,99.33,99.55,99.1,99.32
main,code2vec,98.62,98.72,98.52,98.62
setUp,code2vec,96.72,99.26,94.1,96.61
onCreate,code2vec,99.53,100.0,99.06,99.53
toString,code2vec,97.89,97.37,98.44,97.9
run,code2vec,76.2,86.3,62.26,72.33
hashCode,code2vec,99.74,99.74,99.74,99.74
init,code2vec,88.26,88.74,87.54,88.14
execute,code2vec,89.73,93.44,85.19,89.12
get,code2vec,91.26,92.33,89.85,91.07
equals,HCB,98.71,98.54,98.88,98.71
main,HCB,95.68,94.62,96.85,95.72
setUp,HCB,87.08,87.7,86.1,86.89
onCreate,HCB,96.51,100.0,92.99,96.37
toString,HCB,95.39,93.41,97.65,95.48
run,HCB,62.03,62.03,61.87,61.95
hashCode,HCB,95.74,97.06,94.29,95.65
init,HCB,81.25,74.73,94.25,83.36
execute,HCB,80.17,76.25,86.89,81.22
get,HCB,90.67,86.76,95.82,91.07
equals,HCN,98.09,98.2,97.98,98.09
main,HCN,93.03,91.7,94.59,93.12
setUp,HCN,83.38,78.9,90.87,84.46
onCreate,HCN,96.45,100.0,92.86,96.3
toString,HCN,94.45,93.56,95.46,94.5
run,HCN,63.18,60.51,75.74,67.27
hashCode,HCN,96.39,96.85,95.84,96.34
init,HCN,79.58,73.55,92.17,81.81
execute,HCN,70.6,63.6,94.59,76.06
get,HCN,87.56,84.96,91.04,87.89
equals,HCBCX,98.88,99.21,98.54,98.87
main,HCBCX,95.87,94.72,97.15,95.92
setUp,HCBCX,91.83,90.26,93.68,91.94
onCreate,HCBCX,96.51,99.86,93.13,96.38
toString,HCBCX,95.07,95.57,94.52,95.04
run,HCBCX,68.57,69.24,66.75,67.97
hashCode,HCBCX,98.45,98.95,97.92,98.43
init,HCBCX,82.36,77.72,90.58,83.66
execute,HCBCX,81.43,80.67,82.05,81.35
get,HCBCX,92.44,89.89,95.52,92.62
equals,HCNCX,98.88,98.99,98.76,98.87
main,HCNCX,92.83,91.04,94.98,92.97
setUp,HCNCX,89.8,87.53,92.7,90.04
onCreate,HCNCX,96.25,100.0,92.45,96.08
toString,HCNCX,94.61,94.81,94.37,94.59
run,HCNCX,69.72,69.55,70.09,69.82
hashCode,HCNCX,98.32,98.19,98.44,98.31
init,HCNCX,80.97,75.43,91.69,82.77
execute,HCNCX,82.0,76.36,92.02,83.46
get,HCNCX,90.22,88.54,92.24,90.35
equals,BGTK,97.52,99.20,97.53,98.36
main,BGTK,65.94,84.38,65.94,74.03
setUp,BGTK,89.18,42.93,89.19,57.96
onCreate,BGTK,91.50,94.70,91.51,93.08
toString,BGTK,88.73,85.14,88.73,86.90
run,BGTK,51.98,37.96,51.99,43.88
hashCode,BGTK,97.40,74.70,97.40,84.55
init,BGTK,0.00,0.00,0.00,0.00
execute,BGTK,31.33,41.04,31.34,35.54
get,BGTK,92.23,43.77,92.24,59.37
equals,BGCH,74.01,50.97,74.02,60.37
main,BGCH,0.00,0.00,0.00,0.00
setUp,BGCH,59.83,26.12,59.83,36.36
onCreate,BGCH,87.73,59.89,87.74,71.19
toString,BGCH,74.02,51.64,74.02,60.84
run,BGCH,27.47,25.36,27.47,26.37
hashCode,BGCH,52.98,30.18,52.99,38.45
init,BGCH,0.00,0.00,0.00,0.00
execute,BGCH,0.28,2.44,0.28,0.51
get,BGCH,10.14,13.55,10.15,11.60
